"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"Pierre Besson",5,"1940-04-01","Saint-Astier (France)","Saint-Astier",516,1960-01-01,1963-01-12,1968-11-09,"Le 12 janvier 1963 contre l'Écosse","Le 9 novembre 1968 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Pierre_Besson","Naissance	1er avril 1940
à Saint-Astier (France)	","12 janvier 1963","9 novembre 1968",45.1446287,0.5293881
"Jean Fabre",8,"1935-11-07","Rodez (France)","Rodez",517,1960-01-01,1963-01-12,1964-02-22,"Le 12 janvier 1963 contre l'Écosse","Le 22 février 1964 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean_Fabre_(rugby_%C3%A0_XV)","Naissance	7 novembre 1935
à Rodez (France)	","12 janvier 1963","22 février 1964",44.3511408,2.5728493
"Fernand Zago",2,"1942-02-27","Saint-Lys","Saint-Lys",518,1960-01-01,1963-01-26,1963-02-23,"Le 26 janvier 1963 contre l'Irlande","Le 23 février 1963 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Fernand_Zago","Naissance	
27 février 1942
Saint-Lys","26 janvier 1963","23 février 1963",43.5140434,1.1775205
"Paul Dedieu",12,"1933-05-08","Toulouse (France)","Toulouse",519,1960-01-01,1963-02-23,1965-03-27,"Le 23 février 1963 contre l'Angleterre","Le 27 mars 1965 contre le pays de Galles",25,"https://fr.wikipedia.org//wiki/Paul_Dedieu","Naissance	8 mai 1933
à Toulouse (France)	","23 février 1963","27 mars 1965",43.6044622,1.4442469
"Raymond Rebujent",1,"1942-09-27","Elne","Elne",520,1960-01-01,1963-02-23,1963-02-23,"Le 23 février 1963 contre l'Angleterre","Le 23 février 1963 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Raymond_Rebujent","Naissance	
27 septembre 1942 
Elne","23 février 1963","23 février 1963",42.6015016,2.9705605
"Roger Fite",2,"1938-10-13","Cabrerolles (France)","Cabrerolles",521,1960-01-01,1963-03-23,1963-04-14,"Le 23 mars 1963 contre le pays de Galles","Le 14 avril 1963 contre l'Italie",0,"https://fr.wikipedia.org//wiki/Roger_Fite","Naissance	13 octobre 1938
à Cabrerolles (France)	","23 mars 1963","14 avril 1963",43.5445,3.12514
"Jean-Claude Lasserre",13,"1938-05-12","Hussein Dey (France)","Hussein Dey",522,1960-01-01,1963-04-14,1967-01-14,"Le 14 avril 1963 contre l'Italie","Le 14 janvier 1967 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Jean-Claude_Lasserre_(rugby_%C3%A0_XV)","Naissance	12 mai 1938
à Hussein Dey (France)	","14 avril 1963","14 janvier 1967",36.7348904,3.0596736
"Jean Le Droff",9,"1939-06-22","Ordan-Larroque (France)","Ordan-Larroque",523,1960-01-01,1963-04-14,1971-01-30,"Le 14 avril 1963 contre l'Italie","Le 30 janvier 1971 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jean_Le_Droff","Naissance	22 juin 1939
à Ordan-Larroque (France)	","14 avril 1963","30 janvier 1971",43.6876233,0.4598298
"Lucien Abadie",1,"1937-08-17","Bouilh-Devant","Bouilh-Devant",524,1960-01-01,1963-12-15,1963-12-15,"le 15 décembre 1963 contre la Roumanie","le 15 décembre 1963 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Lucien_Abadie","Naissance	
17 août 1937
Bouilh-Devant","15 décembre 1963","15 décembre 1963",43.3316027,0.2601455
"Jean-Claude Berejnoi",27,"1939-04-20","Decazeville (Aveyron)","Decazeville",525,1960-01-01,1963-12-15,1967-12-10,"le 15 décembre 1963 contre la Roumanie","le 10 décembre 1967 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Jean-Claude_Berejnoi","Naissance	
20 avril 1939 
Decazeville (Aveyron)","15 décembre 1963","10 décembre 1967",44.5585148,2.2542071
"Jean-Michel Cabanier",26,"1936-05-13","Montpezat-de-Quercy (France)","Montpezat-de-Quercy",526,1960-01-01,1963-12-15,1968-01-27,"le 15 décembre 1963 contre la Roumanie","le 27 janvier 1968 contre l'Irlande",12,"https://fr.wikipedia.org//wiki/Jean-Michel_Cabanier","Naissance	13 mai 1936
à Montpezat-de-Quercy (France)	","15 décembre 1963","27 janvier 1968",44.2391667,1.4772222
"André Herrero",22,"1938-01-28","Puisserguier (Hérault) (France)","Puisserguier",527,1960-01-01,1963-12-15,1967-12-10,"le 15 décembre 1963 contre la Roumanie","le 10 décembre 1967 contre la Roumanie",6,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Herrero","Naissance	28 janvier 1938
à Puisserguier (Hérault) (France)	","15 décembre 1963","10 décembre 1967",43.3679188,3.0408301
"Jean-Joseph Rupert",14,"1938-03-07","Saint-Jean-de-Marsacq","Saint-Jean-de-Marsacq",528,1960-01-01,1963-12-15,1968-01-13,"le 15 décembre 1963 contre la Roumanie","le 13 janvier 1968 contre l'Écosse",12,"https://fr.wikipedia.org//wiki/Jean-Joseph_Rupert","Naissance	
7 mars 1938
Saint-Jean-de-Marsacq","15 décembre 1963","13 janvier 1968",43.6249983,-1.2573335
"Jacques Bayardon",3,"1934-01-25","Mâcon","Mâcon",529,1960-01-01,1964-01-04,1964-02-22,"le 4 janvier 1964 contre l'Écosse","le 22 février 1964 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jacques_Bayardon","Naissance	
25 janvier 1934
Mâcon","4 janvier 1964","22 février 1964",46.3036683,4.8322266
"Benoit Dauga",63,"1942-05-08","Montgaillard (France)","Montgaillard",530,1960-01-01,1964-01-04,1972-03-25,"le 4 janvier 1964 contre l'Écosse","le 25 mars 1972 contre le pays de Galles",34,"https://fr.wikipedia.org//wiki/Benoit_Dauga","Naissance	8 mai 1942
à Montgaillard (France)	","4 janvier 1964","25 mars 1972",43.1242256,0.1087538
"Jean-Baptiste Amestoy",2,"1935-08-28","Ustaritz","Ustaritz",531,1960-01-01,1964-02-08,1964-02-22,"le 8 février 1964 contre la Nouvelle-Zélande","le 22 février 1964 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean-Baptiste_Amestoy","Naissance	
28 août 1935 
Ustaritz","8 février 1964","22 février 1964",43.39876,-1.4562207
"Jean-Claude Hiquet",1,"1939-11-04","Soustons","Soustons",532,1960-01-01,1964-02-22,1964-02-22,"le 22 février 1964 contre l'Angleterre","le 22 février 1964 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean-Claude_Hiquet","Naissance	
4 novembre 1939
Soustons","22 février 1964","22 février 1964",43.7536389,-1.33664531635336
"Arnaldo Gruarin",26,"1938-02-05","Gruaro (Italie)","Gruaro",533,1960-01-01,1964-03-21,1968-01-27,"le 21 mars 1964 contre le pays de Galles","le 27 janvier 1968 contre l'Irlande",6,"https://fr.wikipedia.org//wiki/Arnaldo_Gruarin","Naissance	5 février 1938
à Gruaro (Italie)	","21 mars 1964","27 janvier 1968",45.8334955,12.8437093
"Yves Menthillier",5,"1941-12-07","Bourg","Bourg-en-Bresse",534,1960-01-01,1964-03-21,1965-02-27,"le 21 mars 1964 contre le pays de Galles","le 27 février 1965 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Yves_Menthillier","Naissance	
7 décembre 1941
Bourg","21 mars 1964","27 février 1965",45.0394689,-0.5596107
"Michel Sitjar",13,"1942-09-13","Toulouse (France)","Toulouse",535,1960-01-01,1964-03-21,1967-07-22,"le 21 mars 1964 contre le pays de Galles","le 22 juillet 1967 contre l'Afrique du Sud",3,"https://fr.wikipedia.org//wiki/Michel_Sitjar","Naissance	13 septembre 1942
à Toulouse (France)	","21 mars 1964","22 juillet 1967",43.6044622,1.4442469
"André Abadie",1,"1932-01-31","Aureilhan (France)","Aureilhan",536,1960-01-01,1964-04-11,1964-04-11,"le 11 avril 1964 contre l'Irlande","le 11 avril 1964 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Abadie_(rugby_%C3%A0_XV,_1932)","Naissance	31 janvier 1932
à Aureilhan (France)	","11 avril 1964","11 avril 1964",43.2426749,0.0965226
"Michel Arnaudet",3,"1943-03-11","Lourdes","Lourdes",537,1960-01-01,1964-04-11,1967-04-01,"le 11 avril 1964 contre l'Irlande","le 1er avril 1967 contre le pays de Galles",12,"https://fr.wikipedia.org//wiki/Michel_Arnaudet","Naissance	
11 mars 1943 
Lourdes","11 avril 1964","1er avril 1967",43.0940904,-0.0464975
"Jean Capdouze",6,"1942-08-30","Salies-de-Béarn (France)","Salies-de-Béarn",538,1960-01-01,1964-07-25,1965-02-27,"le 25 juillet 1964 contre l'Afrique du Sud","le 27 février 1965 contre l'Angleterre",6,"https://fr.wikipedia.org//wiki/Jean_Capdouze","Naissance	30 août 1942
à Salies-de-Béarn (France)	","25 juillet 1964","27 février 1965",43.4703515,-0.9234025
"Walter Spanghero",51,"1943-12-21","Payra-sur-l'Hers (France)","Payra-sur-l'Hers",539,1960-01-01,1964-07-25,1973-04-14,"le 25 juillet 1964 contre l'Afrique du Sud","le 14 avril 1973 contre l'Irlande",14,"https://fr.wikipedia.org//wiki/Walter_Spanghero","Naissance	21 décembre 1943
à Payra-sur-l'Hers (France)	","25 juillet 1964","14 avril 1973",43.266555,1.8553589
"Lilian Camberabero",13,"1937-07-15","Saint-Vincent-de-Tyrosse (France)","Saint-Vincent-de-Tyrosse",540,1960-01-01,1964-11-29,1968-03-23,"le 29 novembre 1964 contre la Roumanie","le 23 mars 1968 contre le pays de Galles",9,"https://fr.wikipedia.org//wiki/Lilian_Camberabero","Naissance	15 juillet 1937
à Saint-Vincent-de-Tyrosse (France)	","29 novembre 1964","23 mars 1968",43.6604837,-1.3029669
"André Campaes",14,"1944-03-30","Lourdes (France)","Lourdes",541,1960-01-01,1965-03-27,1973-02-10,"le 27 mars 1965 contre le pays de Galles","le 10 février 1973 contre la Nouvelle-Zélande",12,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Campaes","Naissance	30 mars 1944
à Lourdes (France)	","27 mars 1965","10 février 1973",43.0940904,-0.0464975
"André Abadie",7,"1934-07-27","Toulouse (France)","Toulouse",542,1960-01-01,1965-11-28,1968-01-27,"le 28 novembre 1965 contre la Roumanie","le 27 janvier 1968 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Abadie_(rugby_%C3%A0_XV,_1934)","Naissance	27 juillet 1934
à Toulouse (France)	","28 novembre 1965","27 janvier 1968",43.6044622,1.4442469
"Elie Cester",35,"1942-07-27","L'Isle-Jourdain (France)","L'Isle-Jourdain",543,1960-01-01,1966-01-15,1974-03-16,"le 15 janvier 1966 contre l'Écosse","le 16 mars 1974 contre l'Écosse",3,"https://fr.wikipedia.org//wiki/Elie_Cester","Naissance	27 juillet 1942
à L'Isle-Jourdain (France)	","15 janvier 1966","16 mars 1974",43.6144444,1.0816667
"Jean-Claude Roques",4,"1943-03-19","Brive-la-Gaillarde","Brive-la-Gaillarde",544,1960-01-01,1966-01-15,1966-11-27,"le 15 janvier 1966 contre l'Écosse","le 27 novembre 1966 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Jean-Claude_Roques","Naissance	
19 mars 1943 
Brive-la-Gaillarde","15 janvier 1966","27 novembre 1966",45.1584982,1.5332389
"Bernard Duprat",15,"1943-07-17","Bayonne (France)","Bayonne",545,1960-01-01,1966-02-26,1972-06-17,"le 26 février 1966 contre l'Angleterre","le 17 juin 1972 contre l'Australie",31,"https://fr.wikipedia.org//wiki/Bernard_Duprat","Naissance	17 juillet 1943
à Bayonne (France)	","26 février 1966","17 juin 1972",43.4945144,-1.4736657
"Jean-Claude Lagrange",1,"1942-12-04",NA,NA,546,1960-01-01,1966-04-09,1966-04-09,"le 9 avril 1966 contre l'Italie","le 9 avril 1966 contre l'Italie",3,"https://fr.wikipedia.org//wiki/Jean-Claude_Lagrange","Naissance	
4 décembre 1942 ","9 avril 1966","9 avril 1966",NA,NA
"Jo Maso",25,"1944-12-27","Toulouse (France)","Toulouse",547,1960-01-01,1966-04-09,1973-11-11,"le 9 avril 1966 contre l'Italie","le 11 novembre 1973 contre la Roumanie",15,"https://fr.wikipedia.org//wiki/Jo_Maso","Naissance	27 décembre 1944
à Toulouse (France)	","9 avril 1966","11 novembre 1973",43.6044622,1.4442469
"Christian Carrère",27,"1943-07-27","Tarbes (France)","Tarbes",548,1960-01-01,1966-11-27,1971-03-27,"le 27 novembre 1966 contre la Roumanie","le 27 mars 1971 contre le pays de Galles",12,"https://fr.wikipedia.org//wiki/Christian_Carr%C3%A8re","Naissance	27 juillet 1943
à Tarbes (France)	","27 novembre 1966","27 mars 1971",43.232858,0.0781021
"Claude Dourthe",32,"1948-11-20","Magescq (France)","Magescq",549,1960-01-01,1966-11-27,1975-02-15,"le 27 novembre 1966 contre la Roumanie","le 15 février 1975 contre l'Écosse",40,"https://fr.wikipedia.org//wiki/Claude_Dourthe","Naissance	20 novembre 1948
à Magescq (France)	","27 novembre 1966","15 février 1975",43.7808858,-1.2165055
"Jean Salut",7,"1943-04-14","Beaumont-de-Lomagne (France)","Beaumont-de-Lomagne",550,1960-01-01,1966-11-27,1969-01-25,"le 27 novembre 1966 contre la Roumanie","le 25 janvier 1969 contre l'Irlande",3,"https://fr.wikipedia.org//wiki/Jean_Salut","Naissance	14 avril 1943
à Beaumont-de-Lomagne (France)	","27 novembre 1966","25 janvier 1969",43.8817933,0.9875923
"Jean-Pierre Mir",1,"1947-06-25","Saint-Lary-Soulan","Saint-Lary-Soulan",551,1960-01-01,1967-02-11,1967-02-11,"le 11 février 1967 contre l'Australie","le 11 février 1967 contre l'Australie",0,"https://fr.wikipedia.org//wiki/Jean-Pierre_Mir","Naissance	
25 juin 1947
Saint-Lary-Soulan","11 février 1967","11 février 1967",42.816936,0.3219538
"Jean-Pierre Lux",47,"1946-01-09","Dax (France)","Dax",552,1960-01-01,1967-02-25,1975-01-18,"le 25 février 1967 contre l'Angleterre","le 18 janvier 1975 contre le pays de Galles",42,"https://fr.wikipedia.org//wiki/Jean-Pierre_Lux","Naissance	9 janvier 1946
à Dax (France)	","25 février 1967","18 janvier 1975",43.7084065,-1.0518771
"Jacques Fort",7,"1938-01-16","Caudéran","Caudéran",553,1960-01-01,1967-03-26,1967-08-12,"le 26 mars 1967 contre l'Italie","le 12 août 1967 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jacques_Fort","Naissance	
16 janvier 1938
Caudéran","26 mars 1967","12 août 1967",44.8517968,-0.6175077
"Pierre Villepreux",34,"1943-07-05","Arnac-Pompadour (France)","Arnac-Pompadour",554,1960-01-01,1967-03-26,1972-06-25,"le 26 mars 1967 contre l'Italie","le 25 juin 1972 contre l'Australie",166,"https://fr.wikipedia.org//wiki/Pierre_Villepreux","Naissance	5 juillet 1943
à Arnac-Pompadour (France)	","26 mars 1967","25 juin 1972",45.3979167,1.3815096
"Jean-Michel Esponda",10,"1943-04-24","Hendaye","Hendaye",555,1960-01-01,1967-07-15,1969-02-22,"le 15 juillet 1967 contre l'Afrique du Sud","le 22 février 1969 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Jean-Michel_Esponda","Naissance	
24 avril 1943 
Hendaye","15 juillet 1967","22 février 1969",43.3641518,-1.7616499
"André Quilis",5,"1941-10-28","Coursan (France)","Coursan",556,1960-01-01,1967-07-15,1971-01-30,"le 15 juillet 1967 contre l'Afrique du Sud","le 30 janvier 1971 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Quilis","Naissance	28 octobre 1941
à Coursan (France)	","15 juillet 1967","30 janvier 1971",43.2347407,3.0585293
"Jean-Louis Dehez",2,"1944-05-06","Mont-de-Marsan","Mont-de-Marsan",557,1960-01-01,1967-07-22,1969-12-14,"le 22 juillet 1967 contre l'Afrique du Sud","le 14 décembre 1969 contre la Roumanie",11,"https://fr.wikipedia.org//wiki/Jean-Louis_Dehez","Naissance	
6 mai 1944 
Mont-de-Marsan","22 juillet 1967","14 décembre 1969",43.8911318,-0.500972
"Michel Lasserre",15,"1940-11-29","Le Causé (France)","Le Causé",558,1960-01-01,1967-07-22,1971-03-27,"le 22 juillet 1967 contre l'Afrique du Sud","le 27 mars 1971 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Michel_Lasserre","Naissance	29 novembre 1940
à Le Causé (France)	","22 juillet 1967","27 mars 1971",43.8023587,0.9705529
"Jean-Claude Malbet",2,"1937-08-28","Larressingle","Larressingle",559,1960-01-01,1967-07-22,1967-08-12,"le 22 juillet 1967 contre l'Afrique du Sud","le 12 août 1967 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jean-Claude_Malbet","Naissance	
28 août 1937
Larressingle","22 juillet 1967","12 août 1967",43.9444744,0.3108768
"Alain Plantefol",11,"1942-12-26","Colombes (France)","Colombes",560,1960-01-01,1967-07-22,1969-03-22,"le 22 juillet 1967 contre l'Afrique du Sud","le 22 mars 1969 contre le pays de Galles",3,"https://fr.wikipedia.org//wiki/Alain_Plantefol","Naissance	26 décembre 1942
à Colombes (France)	","22 juillet 1967","22 mars 1969",48.922788,2.2543577
"Gérard Sutra",4,"1946-03-21","Narbonne","Narbonne",561,1960-01-01,1967-07-22,1970-01-24,"le 22 juillet 1967 contre l'Afrique du Sud","le 24 janvier 1970 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/G%C3%A9rard_Sutra","Naissance	21 mars 1946
à Narbonne	","22 juillet 1967","24 janvier 1970",43.1837757,3.0041906
"Jacques Londios",1,"1946-01-14","Montauban","Montauban",562,1960-01-01,1967-07-29,1967-07-29,"le 29 juillet 1967 contre l'Afrique du Sud","le 29 juillet 1967 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jacques_Londios","Naissance	
14 janvier 1946 
Montauban","29 juillet 1967","29 juillet 1967",44.0175835,1.3549991
"Jean Trillo",28,"1944-10-27","Condom (France)","Condom",563,1960-01-01,1967-07-29,1973-02-24,"le 29 juillet 1967 contre l'Afrique du Sud","le 24 février 1973 contre l'Angleterre",19,"https://fr.wikipedia.org//wiki/Jean_Trillo","Naissance	27 octobre 1944
à Condom (France)	","29 juillet 1967","24 février 1973",43.9564563,0.3745929
"Jacques Crampagne",1,"1944-04-07","Foix","Foix",564,1960-01-01,1967-08-12,1967-08-12,"le 12 août 1967 contre l'Afrique du Sud","le 12 août 1967 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jacques_Crampagne","Naissance	
7 avril 1944 
Foix","12 août 1967","12 août 1967",42.9638998,1.6053807
"Jean-Michel Capendeguy",2,"1941-03-05","Ciboure","Ciboure",565,1960-01-01,1967-11-25,1967-12-10,"le 25 novembre 1967 contre la Nouvelle-Zélande","le 10 décembre 1967 contre la Roumanie",3,"https://fr.wikipedia.org//wiki/Jean-Michel_Capendeguy","Naissance	
5 mars 1941
Ciboure","25 novembre 1967","10 décembre 1967",43.3844003,-1.6676238
"Jean-Jacques Lénient",1,"1943-03-23",NA,NA,566,1960-01-01,1967-12-10,1967-12-10,"le 10 décembre 1967 contre la Roumanie","le 10 décembre 1967 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Jean-Jacques_L%C3%A9nient","Naissance	
23 mars 1943 ","10 décembre 1967","10 décembre 1967",NA,NA
"Jean-Henri Mir",2,"1945-02-21",NA,NA,567,1960-01-01,1967-12-10,1968-01-27,"le 10 décembre 1967 contre la Roumanie","le 27 janvier 1968 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Jean-Henri_Mir","Naissance	
21 février 1945 ","10 décembre 1967","27 janvier 1968",NA,NA
"Jean-Marie Bonal",14,"1943-05-31","Saint-Cirgues-de-Jordanne (France)","Saint-Cirgues-de-Jordanne",568,1960-01-01,1968-02-24,1970-04-18,"le 24 février 1968 contre l'Angleterre","le 18 avril 1970 contre l'Angleterre",15,"https://fr.wikipedia.org//wiki/Jean-Marie_Bonal","Naissance	31 mai 1943
à Saint-Cirgues-de-Jordanne (France)	","24 février 1968","18 avril 1970",45.0283951,2.5811651
"Jean-Claude Noble",6,"1944-12-29","Marseille","Marseille",569,1960-01-01,1968-02-24,1968-12-01,"le 24 février 1968 contre l'Angleterre","le 1er décembre 1968 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Jean-Claude_Noble","Naissance	
29 décembre 1944
Marseille","24 février 1968","1er décembre 1968",43.2961743,5.3699525
"Michel Yachvili",15,"1946-09-25","Tulle (France)","Tulle",570,1960-01-01,1968-02-24,1975-06-28,"le 24 février 1968 contre l'Angleterre","le 28 juin 1975 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Michel_Yachvili","Naissance	25 septembre 1946
à Tulle (France)	","24 février 1968","28 juin 1975",45.2678347,1.7706797
"Michel Greffe",5,"1940-10-27","Lyon 2e (France)","Lyon",571,1960-01-01,1968-03-23,1968-11-09,"le 23 mars 1968 contre le pays de Galles","le 9 novembre 1968 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Michel_Greffe","Naissance	27 octobre 1940
à Lyon 2e (France)	","23 mars 1968","9 novembre 1968",45.7578137,4.8320114
"Jean-Paul Baux",4,"1946-06-16","Larroque","Larroque",572,1960-01-01,1968-07-13,1968-11-16,"le 13 juillet 1968 contre la Nouvelle-Zélande","le 16 novembre 1968 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jean-Paul_Baux","Naissance	
16 juin 1946
Larroque","13 juillet 1968","16 novembre 1968",43.1948395,0.608575
"Jean Iraçabal",34,"1941-07-06","Larressore (France)","Larressore",573,1960-01-01,1968-07-13,1974-11-30,"le 13 juillet 1968 contre la Nouvelle-Zélande","le 30 novembre 1974 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Jean_Ira%C3%A7abal_(rugby_%C3%A0_XV)","Naissance	6 juillet 1941
à Larressore (France)	","13 juillet 1968","30 novembre 1974",43.3713116,-1.4375185
"André Piazza",2,"1947-12-01","Moissac (France)","Moissac",574,1960-01-01,1968-07-13,1968-08-17,"le 13 juillet 1968 contre la Nouvelle-Zélande","le 17 août 1968 contre l'Australie",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Piazza_(rugby_%C3%A0_XV)","Naissance	1er décembre 1947
à Moissac (France)	","13 juillet 1968","17 août 1968",44.1050886,1.0846682
"Christian Boujet",3,"1942-08-29","Jarrie (France)","Jarrie",575,1960-01-01,1968-07-27,1968-11-09,"le 27 juillet 1968 contre la Nouvelle-Zélande","le 9 novembre 1968 contre l'Afrique du Sud",5,"https://fr.wikipedia.org//wiki/Christian_Boujet","Naissance	29 août 1942
à Jarrie (France)	","27 juillet 1968","9 novembre 1968",45.1053965,5.7485905
"Bernard Dutin",4,"1944-12-09","Thônes (France)","Thônes",576,1960-01-01,1968-07-27,1968-12-01,"le 27 juillet 1968 contre la Nouvelle-Zélande","le 1er décembre 1968 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Bernard_Dutin","Naissance	9 décembre 1944
à Thônes (France)	","27 juillet 1968","1er décembre 1968",45.8819884,6.3241844
"Jean-Louis Bérot",21,"1947-07-28","Dax (France)","Dax",577,1960-01-01,1968-08-10,1974-01-19,"le 10 août 1968 contre la Nouvelle-Zélande","le 19 janvier 1974 contre l'Irlande",23,"https://fr.wikipedia.org//wiki/Jean-Louis_B%C3%A9rot","Naissance	28 juillet 1947
à Dax (France)	","10 août 1968","19 janvier 1974",43.7084065,-1.0518771
"Michel Billière",1,"1943-07-16","Salles-sur-Garonne (France)","Salles-sur-Garonne",578,1960-01-01,1968-08-10,1968-08-10,"le 10 août 1968 contre la Nouvelle-Zélande","le 10 août 1968 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Michel_Billi%C3%A8re","Naissance	16 juillet 1943
à Salles-sur-Garonne (France)	","10 août 1968","10 août 1968",43.273,1.17968
"Claude Chenevay",1,"1943-02-09","Grenoble","Grenoble",579,1960-01-01,1968-11-09,1968-11-09,"le 9 novembre 1968 contre l'Afrique du Sud","le 9 novembre 1968 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Claude_Chenevay","Naissance	
9 février 1943 
Grenoble","9 novembre 1968","9 novembre 1968",45.1875602,5.7357819
"Henri Magois",3,"1947-01-01","La Rochelle","La Rochelle",580,1960-01-01,1968-11-09,1968-12-01,"le 9 novembre 1968 contre l'Afrique du Sud","le 1er décembre 1968 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Henri_Magois","Naissance	
1er janvier 1947 
La Rochelle","9 novembre 1968","1er décembre 1968",46.1591126,-1.1520434
"Dominique Bontemps",1,"1946-05-27","Rochefort","Rochefort",581,1960-01-01,1968-11-16,1968-11-16,"le 16 novembre 1968 contre l'Afrique du Sud","le 16 novembre 1968 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Dominique_Bontemps","Naissance	
27 mai 1946 
Rochefort","16 novembre 1968","16 novembre 1968",45.9366592,-0.9616399
"Lucien Paries",8,"1947-07-04","Anglet (France)","Anglet",582,1960-01-01,1968-11-16,1975-03-01,"le 16 novembre 1968 contre l'Afrique du Sud","le 1er mars 1975 contre l'Irlande",46,"https://fr.wikipedia.org//wiki/Lucien_Paries","Naissance	4 juillet 1947
à Anglet (France)	","16 novembre 1968","1er mars 1975",43.4813927,-1.5149935
"André Ruiz",2,"1947-03-30","Séméac (France)","Séméac",583,1960-01-01,1968-11-16,1968-12-01,"le 16 novembre 1968 contre l'Afrique du Sud","le 1er décembre 1968 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Andr%C3%A9_Ruiz","Naissance	30 mars 1947
à Séméac (France)	","16 novembre 1968","1er décembre 1968",43.2284141,0.1046315
"Jean Sillières",8,"1946-11-15","Marciac (France)","Marciac",584,1960-01-01,1968-12-01,1972-03-25,"le 1er décembre 1968 contre la Roumanie","le 25 mars 1972 contre le pays de Galles",10,"https://fr.wikipedia.org//wiki/Jean_Silli%C3%A8res","Naissance	15 novembre 1946
à Marciac (France)	","1er décembre 1968","25 mars 1972",43.524063,0.1611521
"Pierre Biémouret",19,"1943-04-11","Mas-d'Auvignon (France)","Mas-d'Auvignon",585,1960-01-01,1969-02-22,1973-04-14,"le 22 février 1969 contre l'Angleterre","le 14 avril 1973 contre l'Irlande",4,"https://fr.wikipedia.org//wiki/Pierre_Bi%C3%A9mouret","Naissance	11 avril 1943
à Mas-d'Auvignon (France)	","22 février 1969","14 avril 1973",43.8909999,0.5026213
"Michel Hauser",1,"1945-07-10","Lourdes","Lourdes",586,1960-01-01,1969-02-22,1969-02-22,"le 22 février 1969 contre l'Angleterre","le 22 février 1969 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Michel_Hauser","Naissance	
10 juillet 1945 
Lourdes","22 février 1969","22 février 1969",43.0940904,-0.0464975
"Basile Moraitis",2,"1946-01-12","Marseille","Marseille",587,1960-01-01,1969-02-22,1969-03-22,"le 22 février 1969 contre l'Angleterre","le 22 mars 1969 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Basile_Moraitis","Naissance	
12 janvier 1946
Marseille","22 février 1969","22 mars 1969",43.2961743,5.3699525
"Christian Swierczinski",2,"1946-07-28","Saint-Mayme-de-Péreyrol","Saint-Mayme-de-Péreyrol",588,1960-01-01,1969-02-22,1977-07-02,"le 22 février 1969 contre l'Angleterre","le 2 juillet 1977 contre l'Argentine",0,"https://fr.wikipedia.org//wiki/Christian_Swierczinski","Naissance	
28 juillet 1946
Saint-Mayme-de-Péreyrol","22 février 1969","2 juillet 1977",45.0145321,0.6472144
